description,analytical_formula,category
Price impact depth=1.0 in 10^12 pool,impact = (trade / (pool * 1.0)) * 100,Price Impact
Price impact depth=2.0 in 10^6 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Price impact depth=2.0 in 10^7 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Price impact depth=2.0 in 10^8 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Price impact depth=2.0 in 10^9 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Price impact depth=2.0 in 10^10 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Price impact depth=2.0 in 10^11 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Price impact depth=2.0 in 10^12 pool,impact = (trade / (pool * 2.0)) * 100,Price Impact
Calculate lending pool utilization,util = borrowed / supplied,Utilization Rate
"Utilization in 10^5 pool, target 30%","util = borrowed / supplied, target=0.30",Utilization Rate
"Utilization in 10^5 pool, target 50%","util = borrowed / supplied, target=0.50",Utilization Rate
"Utilization in 10^5 pool, target 70%","util = borrowed / supplied, target=0.70",Utilization Rate
"Utilization in 10^5 pool, target 85%","util = borrowed / supplied, target=0.85",Utilization Rate
"Utilization in 10^6 pool, target 30%","util = borrowed / supplied, target=0.30",Utilization Rate
"Utilization in 10^6 pool, target 50%","util = borrowed / supplied, target=0.50",Utilization Rate
"Utilization in 10^6 pool, target 70%","util = borrowed / supplied, target=0.70",Utilization Rate
"Utilization in 10^6 pool, target 85%","util = borrowed / supplied, target=0.85",Utilization Rate
"Utilization in 10^7 pool, target 30%","util = borrowed / supplied, target=0.30",Utilization Rate
"Utilization in 10^7 pool, target 50%","util = borrowed / supplied, target=0.50",Utilization Rate
"Utilization in 10^7 pool, target 70%","util = borrowed / supplied, target=0.70",Utilization Rate
"Utilization in 10^7 pool, target 85%","util = borrowed / supplied, target=0.85",Utilization Rate
"Utilization in 10^8 pool, target 30%","util = borrowed / supplied, target=0.30",Utilization Rate
"Utilization in 10^8 pool, target 50%","util = borrowed / supplied, target=0.50",Utilization Rate
"Utilization in 10^8 pool, target 70%","util = borrowed / supplied, target=0.70",Utilization Rate
"Utilization in 10^8 pool, target 85%","util = borrowed / supplied, target=0.85",Utilization Rate
"Utilization in 10^9 pool, target 30%","util = borrowed / supplied, target=0.30",Utilization Rate
"Utilization in 10^9 pool, target 50%","util = borrowed / supplied, target=0.50",Utilization Rate
"Utilization in 10^9 pool, target 70%","util = borrowed / supplied, target=0.70",Utilization Rate
"Utilization in 10^9 pool, target 85%","util = borrowed / supplied, target=0.85",Utilization Rate
Calculate swap output with fees,out = (in * (1-fee) * r_out) / (r_in + in*(1-fee)),Swap Output
Swap 0.1% fee in 10^3 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^4 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^5 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^6 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^7 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^8 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^9 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.1% fee in 10^10 reserve,out = (in * 0.9990 * r_out) / (r_in + in*0.9990),Swap Output
Swap 0.3% fee in 10^3 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^4 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^5 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^6 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^7 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^8 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^9 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.3% fee in 10^10 reserve,out = (in * 0.9970 * r_out) / (r_in + in*0.9970),Swap Output
Swap 0.5% fee in 10^3 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^4 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^5 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^6 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^7 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^8 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^9 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 0.5% fee in 10^10 reserve,out = (in * 0.9950 * r_out) / (r_in + in*0.9950),Swap Output
Swap 1.0% fee in 10^3 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^4 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^5 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^6 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^7 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^8 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^9 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
Swap 1.0% fee in 10^10 reserve,out = (in * 0.9900 * r_out) / (r_in + in*0.9900),Swap Output
